"name","state_code","contribution_date","sum"
HOUSE MAJORITY PAC,AK,2019-01-13,5.0
HOUSE MAJORITY PAC,AK,2019-01-20,250.0
HOUSE MAJORITY PAC,AK,2019-01-25,25.0
HOUSE MAJORITY PAC,AK,2019-01-27,75.0
HOUSE MAJORITY PAC,AK,2019-02-13,5.0
HOUSE MAJORITY PAC,AK,2019-02-20,250.0
HOUSE MAJORITY PAC,AK,2019-02-25,25.0
HOUSE MAJORITY PAC,AK,2019-02-27,75.0
HOUSE MAJORITY PAC,AK,2019-03-13,5.0
HOUSE MAJORITY PAC,AK,2019-03-20,250.0
HOUSE MAJORITY PAC,AK,2019-03-25,25.0
HOUSE MAJORITY PAC,AK,2019-03-27,75.0
HOUSE MAJORITY PAC,AK,2019-04-13,5.0
HOUSE MAJORITY PAC,AK,2019-04-20,250.0
HOUSE MAJORITY PAC,AK,2019-04-25,25.0
HOUSE MAJORITY PAC,AK,2019-04-27,75.0
HOUSE MAJORITY PAC,AK,2019-05-13,5.0
HOUSE MAJORITY PAC,AK,2019-05-20,250.0
HOUSE MAJORITY PAC,AK,2019-05-25,25.0
HOUSE MAJORITY PAC,AK,2019-05-27,75.0
HOUSE MAJORITY PAC,AK,2019-06-27,50.0
HOUSE MAJORITY PAC,AK,2019-07-27,50.0
HOUSE MAJORITY PAC,AK,2019-08-27,50.0
HOUSE MAJORITY PAC,AK,2019-09-27,50.0
HOUSE MAJORITY PAC,AK,2019-10-15,300.0
HOUSE MAJORITY PAC,AK,2019-10-27,50.0
HOUSE MAJORITY PAC,AK,2019-11-27,50.0
HOUSE MAJORITY PAC,AK,2019-12-27,50.0
HOUSE MAJORITY PAC,AK,2020-02-01,500.0
HOUSE MAJORITY PAC,AK,2020-03-12,35.0
HOUSE MAJORITY PAC,AK,2020-03-26,50.0
HOUSE MAJORITY PAC,AK,2020-03-31,15.0
HOUSE MAJORITY PAC,AK,2020-04-05,50.0
HOUSE MAJORITY PAC,AK,2020-04-09,50.0
HOUSE MAJORITY PAC,AK,2020-04-12,35.0
HOUSE MAJORITY PAC,AK,2020-04-26,15.0
HOUSE MAJORITY PAC,AK,2020-05-05,50.0
HOUSE MAJORITY PAC,AK,2020-05-06,10.0
HOUSE MAJORITY PAC,AK,2020-05-08,25.0
HOUSE MAJORITY PAC,AK,2020-05-09,65.0
HOUSE MAJORITY PAC,AK,2020-05-12,65.0
HOUSE MAJORITY PAC,AK,2020-05-18,15.0
HOUSE MAJORITY PAC,AK,2020-05-20,15.0
HOUSE MAJORITY PAC,AK,2020-05-27,50.0
HOUSE MAJORITY PAC,AK,2020-06-03,15.0
HOUSE MAJORITY PAC,AK,2020-06-05,50.0
HOUSE MAJORITY PAC,AK,2020-06-12,35.0
HOUSE MAJORITY PAC,AK,2020-06-18,15.0
HOUSE MAJORITY PAC,AK,2020-06-20,35.0
HOUSE MAJORITY PAC,AK,2020-06-27,50.0
HOUSE MAJORITY PAC,AK,2020-06-29,15.0
HOUSE MAJORITY PAC,AK,2020-07-02,30.0
HOUSE MAJORITY PAC,AK,2020-07-05,50.0
HOUSE MAJORITY PAC,AK,2020-07-10,35.0
HOUSE MAJORITY PAC,AK,2020-07-12,35.0
HOUSE MAJORITY PAC,AK,2020-07-13,15.0
HOUSE MAJORITY PAC,AK,2020-07-18,15.0
HOUSE MAJORITY PAC,AK,2020-07-19,25.0
HOUSE MAJORITY PAC,AK,2020-07-20,85.0
HOUSE MAJORITY PAC,AK,2020-07-21,5.0
HOUSE MAJORITY PAC,AK,2020-07-23,5.0
HOUSE MAJORITY PAC,AK,2020-07-26,15.0
HOUSE MAJORITY PAC,AK,2020-07-27,55.0
HOUSE MAJORITY PAC,AK,2020-07-28,10.0
HOUSE MAJORITY PAC,AK,2020-07-29,25.0
HOUSE MAJORITY PAC,AK,2020-07-30,50.0
HOUSE MAJORITY PAC,AK,2020-07-31,10.0
HOUSE MAJORITY PAC,AK,2020-08-01,20.0
HOUSE MAJORITY PAC,AK,2020-08-02,15.0
HOUSE MAJORITY PAC,AK,2020-08-03,10.0
HOUSE MAJORITY PAC,AK,2020-08-05,55.0
HOUSE MAJORITY PAC,AK,2020-08-06,5.0
HOUSE MAJORITY PAC,AK,2020-08-09,5.0
HOUSE MAJORITY PAC,AK,2020-08-10,5.0
HOUSE MAJORITY PAC,AK,2020-08-12,40.0
HOUSE MAJORITY PAC,AK,2020-08-13,20.0
HOUSE MAJORITY PAC,AK,2020-08-15,5.0
HOUSE MAJORITY PAC,AK,2020-08-17,15.0
HOUSE MAJORITY PAC,AK,2020-08-18,15.0
HOUSE MAJORITY PAC,AK,2020-08-19,65.0
HOUSE MAJORITY PAC,AK,2020-08-20,35.0
HOUSE MAJORITY PAC,AK,2020-08-21,5.0
HOUSE MAJORITY PAC,AK,2020-08-23,5.0
HOUSE MAJORITY PAC,AK,2020-08-27,50.0
HOUSE MAJORITY PAC,AK,2020-08-29,15.0
HOUSE MAJORITY PAC,AL,2019-01-09,100.0
HOUSE MAJORITY PAC,AL,2019-01-19,250.0
HOUSE MAJORITY PAC,AL,2019-01-23,35.0
HOUSE MAJORITY PAC,AL,2019-01-31,50.0
HOUSE MAJORITY PAC,AL,2019-02-09,100.0
HOUSE MAJORITY PAC,AL,2019-02-19,250.0
HOUSE MAJORITY PAC,AL,2019-02-23,35.0
HOUSE MAJORITY PAC,AL,2019-02-28,50.0
HOUSE MAJORITY PAC,AL,2019-03-09,100.0
HOUSE MAJORITY PAC,AL,2019-03-23,35.0
HOUSE MAJORITY PAC,AL,2019-03-31,50.0
HOUSE MAJORITY PAC,AL,2019-04-09,100.0
HOUSE MAJORITY PAC,AL,2019-04-23,35.0
HOUSE MAJORITY PAC,AL,2019-04-30,50.0
HOUSE MAJORITY PAC,AL,2019-05-09,100.0
HOUSE MAJORITY PAC,AL,2019-05-23,35.0
HOUSE MAJORITY PAC,AL,2019-05-31,50.0
HOUSE MAJORITY PAC,AL,2019-06-23,35.0
HOUSE MAJORITY PAC,AL,2019-06-30,50.0
HOUSE MAJORITY PAC,AL,2019-07-09,50.0
HOUSE MAJORITY PAC,AL,2019-07-19,15.0
HOUSE MAJORITY PAC,AL,2019-07-23,35.0
HOUSE MAJORITY PAC,AL,2019-07-24,15.0
HOUSE MAJORITY PAC,AL,2019-07-31,50.0
HOUSE MAJORITY PAC,AL,2019-08-07,15.0
HOUSE MAJORITY PAC,AL,2019-08-09,25.0
HOUSE MAJORITY PAC,AL,2019-08-10,100.0
HOUSE MAJORITY PAC,AL,2019-08-14,15.0
HOUSE MAJORITY PAC,AL,2019-08-18,85.0
HOUSE MAJORITY PAC,AL,2019-08-19,15.0
HOUSE MAJORITY PAC,AL,2019-08-23,35.0
HOUSE MAJORITY PAC,AL,2019-08-24,15.0
HOUSE MAJORITY PAC,AL,2019-08-30,15.0
HOUSE MAJORITY PAC,AL,2019-09-02,50.0
HOUSE MAJORITY PAC,AL,2019-09-03,15.0
HOUSE MAJORITY PAC,AL,2019-09-07,15.0
HOUSE MAJORITY PAC,AL,2019-09-09,25.0
HOUSE MAJORITY PAC,AL,2019-09-10,100.0
HOUSE MAJORITY PAC,AL,2019-09-18,35.0
HOUSE MAJORITY PAC,AL,2019-09-19,15.0
HOUSE MAJORITY PAC,AL,2019-09-23,35.0
HOUSE MAJORITY PAC,AL,2019-09-24,15.0
HOUSE MAJORITY PAC,AL,2019-09-30,50.0
HOUSE MAJORITY PAC,AL,2019-10-07,15.0
HOUSE MAJORITY PAC,AL,2019-10-09,25.0
HOUSE MAJORITY PAC,AL,2019-10-10,100.0
HOUSE MAJORITY PAC,AL,2019-10-18,35.0
HOUSE MAJORITY PAC,AL,2019-10-19,15.0
HOUSE MAJORITY PAC,AL,2019-10-23,35.0
HOUSE MAJORITY PAC,AL,2019-10-24,15.0
HOUSE MAJORITY PAC,AL,2019-10-31,50.0
HOUSE MAJORITY PAC,AL,2019-11-02,1003.0
HOUSE MAJORITY PAC,AL,2019-11-03,5.0
HOUSE MAJORITY PAC,AL,2019-11-07,15.0
HOUSE MAJORITY PAC,AL,2019-11-09,25.0
HOUSE MAJORITY PAC,AL,2019-11-10,100.0
HOUSE MAJORITY PAC,AL,2019-11-18,35.0
HOUSE MAJORITY PAC,AL,2019-11-19,115.0
HOUSE MAJORITY PAC,AL,2019-11-23,35.0
HOUSE MAJORITY PAC,AL,2019-11-24,15.0
HOUSE MAJORITY PAC,AL,2019-11-28,50.0
HOUSE MAJORITY PAC,AL,2019-11-30,50.0
HOUSE MAJORITY PAC,AL,2019-12-07,15.0
HOUSE MAJORITY PAC,AL,2019-12-09,25.0
HOUSE MAJORITY PAC,AL,2019-12-10,100.0
HOUSE MAJORITY PAC,AL,2019-12-18,35.0
HOUSE MAJORITY PAC,AL,2019-12-19,15.0
HOUSE MAJORITY PAC,AL,2019-12-23,35.0
HOUSE MAJORITY PAC,AL,2019-12-24,15.0
HOUSE MAJORITY PAC,AL,2020-01-19,500.0
HOUSE MAJORITY PAC,AL,2020-02-07,250.0
HOUSE MAJORITY PAC,AL,2020-02-19,100.0
HOUSE MAJORITY PAC,AL,2020-02-29,50.0
HOUSE MAJORITY PAC,AL,2020-03-09,50.0
HOUSE MAJORITY PAC,AL,2020-03-10,100.0
HOUSE MAJORITY PAC,AL,2020-04-07,15.0
HOUSE MAJORITY PAC,AL,2020-04-10,100.0
HOUSE MAJORITY PAC,AL,2020-04-11,100.0
HOUSE MAJORITY PAC,AL,2020-04-18,50.0
HOUSE MAJORITY PAC,AL,2020-04-19,100.0
HOUSE MAJORITY PAC,AL,2020-04-27,100.0
HOUSE MAJORITY PAC,AL,2020-04-28,100.0
HOUSE MAJORITY PAC,AL,2020-04-30,115.0
HOUSE MAJORITY PAC,AL,2020-05-01,35.0
HOUSE MAJORITY PAC,AL,2020-05-04,65.0
HOUSE MAJORITY PAC,AL,2020-05-05,100.0
HOUSE MAJORITY PAC,AL,2020-05-06,100.0
HOUSE MAJORITY PAC,AL,2020-05-09,25.0
HOUSE MAJORITY PAC,AL,2020-05-10,100.0
HOUSE MAJORITY PAC,AL,2020-05-11,100.0
HOUSE MAJORITY PAC,AL,2020-05-13,50.0
HOUSE MAJORITY PAC,AL,2020-05-16,25.0
HOUSE MAJORITY PAC,AL,2020-05-18,35.0
HOUSE MAJORITY PAC,AL,2020-05-23,50.0
HOUSE MAJORITY PAC,AL,2020-05-25,50.0
HOUSE MAJORITY PAC,AL,2020-05-27,75.0
HOUSE MAJORITY PAC,AL,2020-05-29,35.0
HOUSE MAJORITY PAC,AL,2020-05-30,50.0
HOUSE MAJORITY PAC,AL,2020-05-31,100.0
HOUSE MAJORITY PAC,AL,2020-06-01,50.0
HOUSE MAJORITY PAC,AL,2020-06-10,200.0
HOUSE MAJORITY PAC,AL,2020-06-11,100.0
HOUSE MAJORITY PAC,AL,2020-06-12,200.0
HOUSE MAJORITY PAC,AL,2020-06-13,200.0
HOUSE MAJORITY PAC,AL,2020-06-16,100.0
HOUSE MAJORITY PAC,AL,2020-06-17,17.5
HOUSE MAJORITY PAC,AL,2020-06-20,500.0
HOUSE MAJORITY PAC,AL,2020-06-22,35.0
HOUSE MAJORITY PAC,AL,2020-06-23,35.0
HOUSE MAJORITY PAC,AL,2020-06-26,25.0
HOUSE MAJORITY PAC,AL,2020-06-27,3.0
HOUSE MAJORITY PAC,AL,2020-06-29,100.0
HOUSE MAJORITY PAC,AL,2020-06-30,75.0
HOUSE MAJORITY PAC,AL,2020-07-09,25.0
HOUSE MAJORITY PAC,AL,2020-07-10,100.0
HOUSE MAJORITY PAC,AL,2020-07-11,100.0
HOUSE MAJORITY PAC,AL,2020-07-13,100.0
HOUSE MAJORITY PAC,AL,2020-07-16,50.0
HOUSE MAJORITY PAC,AL,2020-07-17,15.0
HOUSE MAJORITY PAC,AL,2020-07-18,50.0
HOUSE MAJORITY PAC,AL,2020-07-20,150.0
HOUSE MAJORITY PAC,AL,2020-07-22,45.0
HOUSE MAJORITY PAC,AL,2020-07-23,35.0
HOUSE MAJORITY PAC,AL,2020-07-24,100.0
HOUSE MAJORITY PAC,AL,2020-07-27,300.0
HOUSE MAJORITY PAC,AL,2020-07-30,115.0
HOUSE MAJORITY PAC,AL,2020-07-31,360.0
HOUSE MAJORITY PAC,AL,2020-08-05,40.0
HOUSE MAJORITY PAC,AL,2020-08-06,40.0
HOUSE MAJORITY PAC,AL,2020-08-07,50.0
HOUSE MAJORITY PAC,AL,2020-08-08,50.0
HOUSE MAJORITY PAC,AL,2020-08-10,100.0
HOUSE MAJORITY PAC,AL,2020-08-11,115.0
HOUSE MAJORITY PAC,AL,2020-08-12,265.0
HOUSE MAJORITY PAC,AL,2020-08-14,25.0
HOUSE MAJORITY PAC,AL,2020-08-16,15.0
HOUSE MAJORITY PAC,AL,2020-08-17,30.0
HOUSE MAJORITY PAC,AL,2020-08-18,50.0
HOUSE MAJORITY PAC,AL,2020-08-21,35.0
HOUSE MAJORITY PAC,AL,2020-08-22,50.0
HOUSE MAJORITY PAC,AL,2020-08-23,35.0
HOUSE MAJORITY PAC,AL,2020-08-24,15.0
HOUSE MAJORITY PAC,AL,2020-08-25,10.0
HOUSE MAJORITY PAC,AL,2020-08-26,15.0
HOUSE MAJORITY PAC,AL,2020-08-27,50.0
HOUSE MAJORITY PAC,AL,2020-08-30,100.0
HOUSE MAJORITY PAC,AP,2020-06-01,25.0
HOUSE MAJORITY PAC,AP,2020-06-09,15.0
HOUSE MAJORITY PAC,AP,2020-06-10,15.0
HOUSE MAJORITY PAC,AP,2020-06-15,25.0
HOUSE MAJORITY PAC,AP,2020-06-30,10.0
HOUSE MAJORITY PAC,AP,2020-07-11,40.0
HOUSE MAJORITY PAC,AP,2020-07-24,40.0
HOUSE MAJORITY PAC,AP,2020-08-19,15.0
HOUSE MAJORITY PAC,AR,2019-01-12,100.0
HOUSE MAJORITY PAC,AR,2019-02-12,100.0
HOUSE MAJORITY PAC,AR,2019-03-12,100.0
HOUSE MAJORITY PAC,AR,2019-04-12,100.0
HOUSE MAJORITY PAC,AR,2019-05-12,100.0
HOUSE MAJORITY PAC,AR,2019-06-12,100.0
HOUSE MAJORITY PAC,AR,2019-07-12,100.0
HOUSE MAJORITY PAC,AR,2019-08-12,100.0
HOUSE MAJORITY PAC,AR,2019-09-12,100.0
HOUSE MAJORITY PAC,AR,2019-10-12,100.0
HOUSE MAJORITY PAC,AR,2019-11-12,100.0
HOUSE MAJORITY PAC,AR,2019-12-12,100.0
HOUSE MAJORITY PAC,AR,2020-03-12,100.0
HOUSE MAJORITY PAC,AR,2020-03-28,200.0
HOUSE MAJORITY PAC,AR,2020-04-12,100.0
HOUSE MAJORITY PAC,AR,2020-05-03,115.0
HOUSE MAJORITY PAC,AR,2020-05-09,15.0
HOUSE MAJORITY PAC,AR,2020-05-12,100.0
HOUSE MAJORITY PAC,AR,2020-05-18,125.0
HOUSE MAJORITY PAC,AR,2020-05-22,5.0
HOUSE MAJORITY PAC,AR,2020-06-12,100.0
HOUSE MAJORITY PAC,AR,2020-06-18,25.0
HOUSE MAJORITY PAC,AR,2020-07-12,100.0
