"name","state_code","contribution_date","sum"
SENATE LEADERSHIP FUND,AL,2020-03-25,250.0
SENATE LEADERSHIP FUND,AL,2020-04-21,100000.0
SENATE LEADERSHIP FUND,AL,2020-06-20,50.0
SENATE LEADERSHIP FUND,AR,2019-04-29,1000000.0
SENATE LEADERSHIP FUND,AR,2019-11-06,500000.0
SENATE LEADERSHIP FUND,AR,2020-05-19,1000000.0
SENATE LEADERSHIP FUND,AR,2020-07-13,250000.0
SENATE LEADERSHIP FUND,AR,2020-07-27,500000.0
SENATE LEADERSHIP FUND,AR,2020-07-30,1000.0
SENATE LEADERSHIP FUND,AR,2020-08-14,1000000.0
SENATE LEADERSHIP FUND,AZ,2020-03-18,100000.0
SENATE LEADERSHIP FUND,AZ,2020-05-18,50000.0
SENATE LEADERSHIP FUND,AZ,2020-06-01,5000.0
SENATE LEADERSHIP FUND,CA,2019-02-22,100000.0
SENATE LEADERSHIP FUND,CA,2019-09-04,150000.0
SENATE LEADERSHIP FUND,CA,2019-11-05,100000.0
SENATE LEADERSHIP FUND,CA,2019-11-12,1000000.0
SENATE LEADERSHIP FUND,CA,2020-01-08,100000.0
SENATE LEADERSHIP FUND,CA,2020-02-18,20000.0
SENATE LEADERSHIP FUND,CA,2020-03-16,1000000.0
SENATE LEADERSHIP FUND,CA,2020-04-03,150000.0
SENATE LEADERSHIP FUND,CA,2020-04-15,5000000.0
SENATE LEADERSHIP FUND,CA,2020-04-21,100000.0
SENATE LEADERSHIP FUND,CA,2020-04-22,100000.0
SENATE LEADERSHIP FUND,CA,2020-05-01,5000.0
SENATE LEADERSHIP FUND,CA,2020-05-13,75000.0
SENATE LEADERSHIP FUND,CA,2020-06-01,1000000.0
SENATE LEADERSHIP FUND,CA,2020-06-16,5000.0
SENATE LEADERSHIP FUND,CA,2020-07-01,500.0
SENATE LEADERSHIP FUND,CA,2020-07-08,50000.0
SENATE LEADERSHIP FUND,CA,2020-07-27,1000.0
SENATE LEADERSHIP FUND,CA,2020-08-04,250000.0
SENATE LEADERSHIP FUND,CA,2020-08-07,1000000.0
SENATE LEADERSHIP FUND,CA,2020-08-11,1000.0
SENATE LEADERSHIP FUND,CA,2020-08-18,80000.0
SENATE LEADERSHIP FUND,CA,2020-08-20,70000.0
SENATE LEADERSHIP FUND,CA,2020-08-21,500.0
SENATE LEADERSHIP FUND,CA,2020-08-22,2000.0
SENATE LEADERSHIP FUND,CA,2020-08-25,10000.0
SENATE LEADERSHIP FUND,CA,2020-08-27,115500.0
SENATE LEADERSHIP FUND,CO,2020-01-20,35500.0
SENATE LEADERSHIP FUND,CO,2020-02-18,35000.0
SENATE LEADERSHIP FUND,CO,2020-05-24,35000.0
SENATE LEADERSHIP FUND,CO,2020-06-11,250.0
SENATE LEADERSHIP FUND,CO,2020-06-15,1000000.0
SENATE LEADERSHIP FUND,CO,2020-06-26,1000.0
SENATE LEADERSHIP FUND,CO,2020-07-30,500.0
SENATE LEADERSHIP FUND,CT,2019-09-03,100000.0
SENATE LEADERSHIP FUND,CT,2019-12-19,250000.0
SENATE LEADERSHIP FUND,CT,2020-05-05,500000.0
SENATE LEADERSHIP FUND,CT,2020-05-14,20000.0
SENATE LEADERSHIP FUND,CT,2020-05-16,10000.0
SENATE LEADERSHIP FUND,CT,2020-06-22,90000.0
SENATE LEADERSHIP FUND,CT,2020-08-20,200000.0
SENATE LEADERSHIP FUND,CT,2020-08-28,500.0
SENATE LEADERSHIP FUND,CT,2020-08-29,1000.0
SENATE LEADERSHIP FUND,DC,2020-02-13,500.0
SENATE LEADERSHIP FUND,DC,2020-08-22,750.0
SENATE LEADERSHIP FUND,FL,2019-04-01,250000.0
SENATE LEADERSHIP FUND,FL,2019-04-26,5000.0
SENATE LEADERSHIP FUND,FL,2019-09-13,250000.0
SENATE LEADERSHIP FUND,FL,2019-10-31,5000.0
SENATE LEADERSHIP FUND,FL,2019-12-05,1000000.0
SENATE LEADERSHIP FUND,FL,2019-12-20,100000.0
SENATE LEADERSHIP FUND,FL,2019-12-23,1000000.0
SENATE LEADERSHIP FUND,FL,2020-02-05,50000.0
SENATE LEADERSHIP FUND,FL,2020-02-27,200000.0
SENATE LEADERSHIP FUND,FL,2020-03-05,100000.0
SENATE LEADERSHIP FUND,FL,2020-03-18,1000000.0
SENATE LEADERSHIP FUND,FL,2020-04-10,200000.0
SENATE LEADERSHIP FUND,FL,2020-04-20,100000.0
SENATE LEADERSHIP FUND,FL,2020-04-24,250000.0
SENATE LEADERSHIP FUND,FL,2020-05-07,1500000.0
SENATE LEADERSHIP FUND,FL,2020-05-11,500.0
SENATE LEADERSHIP FUND,FL,2020-05-22,10000.0
SENATE LEADERSHIP FUND,FL,2020-05-26,100000.0
SENATE LEADERSHIP FUND,FL,2020-06-19,400000.0
SENATE LEADERSHIP FUND,FL,2020-07-08,750000.0
SENATE LEADERSHIP FUND,FL,2020-07-10,100000.0
SENATE LEADERSHIP FUND,FL,2020-07-18,10000.0
SENATE LEADERSHIP FUND,FL,2020-07-28,500.0
SENATE LEADERSHIP FUND,FL,2020-08-03,90000.0
SENATE LEADERSHIP FUND,FL,2020-08-06,400000.0
SENATE LEADERSHIP FUND,FL,2020-08-09,8000.0
SENATE LEADERSHIP FUND,FL,2020-08-20,50000.0
SENATE LEADERSHIP FUND,FL,2020-08-21,50.0
SENATE LEADERSHIP FUND,FL,2020-08-22,250.0
SENATE LEADERSHIP FUND,FL,2020-08-25,10000.0
SENATE LEADERSHIP FUND,GA,2019-01-28,2000000.0
SENATE LEADERSHIP FUND,GA,2020-05-22,2000000.0
SENATE LEADERSHIP FUND,GA,2020-08-26,500.0
SENATE LEADERSHIP FUND,ID,2020-08-04,2800.0
SENATE LEADERSHIP FUND,IL,2019-05-23,50000.0
SENATE LEADERSHIP FUND,IL,2019-10-09,500000.0
SENATE LEADERSHIP FUND,IL,2019-11-13,500000.0
SENATE LEADERSHIP FUND,IL,2019-12-16,2500.0
SENATE LEADERSHIP FUND,IL,2020-04-21,250.0
SENATE LEADERSHIP FUND,IL,2020-05-04,15000.0
SENATE LEADERSHIP FUND,IL,2020-06-18,5000.0
SENATE LEADERSHIP FUND,IL,2020-07-20,1966500.0
SENATE LEADERSHIP FUND,IL,2020-08-08,5000.0
SENATE LEADERSHIP FUND,IL,2020-08-09,500.0
SENATE LEADERSHIP FUND,IL,2020-08-17,250000.0
SENATE LEADERSHIP FUND,IL,2020-08-27,20000.0
SENATE LEADERSHIP FUND,IN,2020-06-14,1000.0
SENATE LEADERSHIP FUND,IN,2020-06-30,2800.0
SENATE LEADERSHIP FUND,IN,2020-07-29,2000.0
SENATE LEADERSHIP FUND,IN,2020-08-21,250.0
SENATE LEADERSHIP FUND,KY,2020-08-22,250.0
SENATE LEADERSHIP FUND,KY,2020-08-31,1000.0
SENATE LEADERSHIP FUND,LA,2020-07-24,25000.0
SENATE LEADERSHIP FUND,MA,2019-06-03,250000.0
SENATE LEADERSHIP FUND,MA,2019-07-31,250000.0
SENATE LEADERSHIP FUND,MA,2019-10-23,250000.0
SENATE LEADERSHIP FUND,MA,2020-02-26,250000.0
SENATE LEADERSHIP FUND,MA,2020-03-31,50000.0
SENATE LEADERSHIP FUND,MA,2020-04-16,250000.0
SENATE LEADERSHIP FUND,MA,2020-05-15,25000.0
SENATE LEADERSHIP FUND,MA,2020-05-29,250000.0
SENATE LEADERSHIP FUND,MA,2020-06-08,1000000.0
SENATE LEADERSHIP FUND,MA,2020-06-17,10000.0
SENATE LEADERSHIP FUND,MA,2020-06-19,100000.0
SENATE LEADERSHIP FUND,MA,2020-06-24,10000.0
SENATE LEADERSHIP FUND,MA,2020-06-27,500.0
