"name","state_code","contribution_date","sum"
"DONALD J. TRUMP FOR PRESIDENT, INC.",AA,2019-04-01,100.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AA,2019-04-03,37.5
"DONALD J. TRUMP FOR PRESIDENT, INC.",AA,2019-04-20,100.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AA,2019-05-02,250.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AA,2019-05-03,37.5
"DONALD J. TRUMP FOR PRESIDENT, INC.",AA,2019-06-03,37.5
"DONALD J. TRUMP FOR PRESIDENT, INC.",AA,2019-06-16,100.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AA,2019-07-17,250.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AA,2020-06-10,375.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AA,2020-07-28,212.5
"DONALD J. TRUMP FOR PRESIDENT, INC.",AA,2020-08-06,225.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AA,2020-09-17,427.5
"DONALD J. TRUMP FOR PRESIDENT, INC.",AA,2020-09-19,1149.5
"DONALD J. TRUMP FOR PRESIDENT, INC.",AA,2020-10-03,237.5
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2019-01-02,35.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2019-01-17,50.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2019-02-02,35.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2019-02-17,50.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2019-04-01,26.25
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2019-04-02,35.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2019-04-04,7.5
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2019-04-07,26.25
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2019-04-10,31.5
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2019-04-15,50.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2019-04-16,61.5
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2019-04-18,31.5
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2019-04-20,15.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2019-04-28,46.5
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2019-04-30,31.5
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2019-05-02,35.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2019-05-04,7.5
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2019-05-07,26.25
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2019-05-11,37.5
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2019-05-15,50.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2019-05-21,7.5
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2019-05-22,69.0
