state,total_spend_biden
AK,43871.5580075
AL,209910.53048300004
AR,127496.1326455
AZ,2489166.266155
CA,3117023.6200795
CO,629684.0123615001
CT,325355.9656215
DE,102315.11159999999
FL,7466364.4936905
GA,1950401.9446085
HI,70706.6974885
IA,717891.2229375
ID,78978.530249
IL,942385.4620950001
IN,345758.07591949997
KS,159410.18390899998
KY,238797.521209
LA,175708.1228105
MA,739855.2079515
MD,524145.122787
ME,129974.9840685
MI,4220553.1674095
MN,1117311.5226979998
MO,368797.430232
MS,116733.3447795
MT,64852.330058
NC,3095792.1400119998
ND,32357.577036000002
NE,205973.94562450002
NH,195239.8167165
NJ,663275.8196785001
NM,129762.081194
NV,1071419.495719
NY,1819674.0070025
OH,894582.433582
OK,158288.4602325
OR,380128.94958550006
PA,6793763.525137501
RI,95128.30066099999
SC,323304.352802
SD,39018.0048445
TN,341692.47183850006
TX,1498756.2047705
UT,140012.601169
VA,806511.687388
VT,73557.3198155
WA,651111.1485255
WI,2180760.4391280003
WV,76726.06046349999
WY,24380.553523000002
NA,177736.52431100002
