state,biden_fundraise
AA,26744.28
AE,198650.61000000002
AK,1151295.19
AL,2320105.3000000003
AP,52144.88
AR,1818485.63
AS,5000.94
AZ,8148344.050000001
CA,125558813.3
CO,14487830.540000001
CT,10514856.209999999
DC,17839935.13
DE,4004606.1300000004
FL,31027682.91
FM,63
GA,10601327.419999998
GU,40662.81
HI,1910326.31
IA,2398704.2
ID,1870808.42
IL,22316314.74
IN,4256381.48
KS,2093274.42
KY,2563741.15
LA,2671596.67
MA,29644100.69
MD,22875503.569999997
ME,2499906.61
MI,10575932.86
MN,8866327.91
MO,5362446.93
MP,7100
MS,808467.03
MT,1174218.2
NC,12229080.379999999
ND,300020.75
NE,1142043.75
NH,2949587.56
NJ,16635478.7
NM,3962094.4
NV,3738071.52
NY,61690488.38
OH,11111689.02
OK,2190596.76
OR,10615808.839999998
PA,22663757.139999997
PR,239889.55
PW,1629
RI,2272795.82
SC,4276582.04
SD,559793.39
TN,6090432.25
TX,28061322.160000004
UT,2689754.54
VA,22813856.060000002
VI,120368.56
VT,1885326.65
WA,26173729.080000002
WI,5746960.41
WV,869377.15
WY,868730.9
ZZ,2017892.78
NA,179148.84
