state,trump_fundraise
AA,3539.5
AE,41183.45
AK,1478792.55
AL,5554098.24
AP,21955.27
AR,2710747.15
AS,1866.2
AZ,12782683.959999999
CA,53100174.300000004
CO,9293957.6
CT,3546086.7100000004
DC,590645.93
DE,1036225.87
FL,44028643.34999999
GA,13985945.569999998
GU,156859.18
HI,1515541.73
IA,2688252.23
ID,2843521.0100000002
IL,10896786.379999999
IN,6216208.5600000005
KS,3582806.7100000004
KY,3783996.6100000003
LA,5496541.46
ma,79
Ma,792.5
MA,6032866.210000001
MD,5863100.070000001
ME,1063788.26
MI,11051906.78
MN,5541473.800000001
MO,6446336.7700000005
MP,3449.77
MS,2884203.2
MT,2041510.57
NC,11430215.43
ND,1118622.06
NE,2070144.31
NH,1864385.8800000001
NJ,10132006.34
NM,3251450.5500000003
NV,6649333
NY,17785271.289999995
OH,12490638.849999998
OK,5535103.380000001
OR,5214522.710000001
PA,12445221.829999998
PR,88567.21
RI,724236.34
SC,6151581.28
SD,1178454.3699999999
TN,8544444.280000001
TX,46309391.400000006
UT,2930478.89
VA,9912945.12
VI,7959.5
VT,335608.7
WA,9133892.88
WI,4778370.4
WV,1321036.9
WY,1270624.44
ZZ,4512.5
NA,78372.51
