week,total_spend,total_impressions
2020-04-06,1137302.99193781,40051137.238317974
2020-04-13,655336.8119276242,29418646.946085006
2020-04-20,536849.090832851,20808315.45718172
2020-04-27,529788.8854332073,21853547.331056934
2020-05-04,467891.58731609903,18258240.950311635
2020-05-11,690327.7440295515,26274655.613728832
2020-05-18,932314.5791832289,36107645.56771126
2020-05-25,1317476.0012863248,44869647.300651304
2020-06-01,4573290.113859527,126398355.90327404
2020-06-08,1527918.3870986942,54007040.40163929
2020-06-15,1416317.618545996,54059043.03202759
2020-06-22,335288.6857643665,14189694.07578674
2020-06-29,32848.40527372992,1296583.6737970745
2020-07-13,4980.721659847222,426052.8881945695
2020-07-20,15808.276090652778,1327435.8868059306
2020-07-27,16287.9988505,1437987.8685005
2020-08-03,22509.247136428574,909044.8519054762
2020-08-10,283522.1735652696,11335943.53400343
2020-08-17,378570.98911389627,10612840.35497418
2020-08-24,354404.7938325574,9858623.542276928
2020-08-31,284467.00293726014,6162569.863716324
2020-09-07,367876.8271751803,13646972.446251104
2020-09-14,759104.982026934,14578833.97551006
2020-09-21,630518.1417243996,19843745.0010848
2020-09-28,2255977.383976784,70665247.44081639
2020-10-05,3325182.4574987493,107535729.62703227
2020-10-12,4260841.303415746,144956020.52958506
2020-10-19,5797501.685323443,230265831.96305022
2020-10-26,6901852.3922560625,319315252.8237816
2020-11-02,495288.2466317888,22886384.446977664
