recipient,token,filing_token,csv_url,state,date,contribution_amount
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,,8/31/2020,25
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,,9/2/2020,100
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,,9/4/2020,500
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,,9/9/2020,100
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,,9/13/2020,10150
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,,9/17/2020,100
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,,9/19/2020,450
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,,9/20/2020,300
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,,9/23/2020,100
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,,9/24/2020,850
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,,9/25/2020,77
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,,9/27/2020,350
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,,9/28/2020,300
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,,9/29/2020,750
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,,9/30/2020,150
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,,10/1/2020,100
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,,10/3/2020,1000
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,,10/4/2020,2500
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,,10/5/2020,250
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,,10/7/2020,24
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,,10/8/2020,50
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,,10/9/2020,1100
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,,10/10/2020,250
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AE,9/12/2020,100
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AE,9/13/2020,5000
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AE,9/15/2020,250
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AE,9/18/2020,100
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AE,9/19/2020,300
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AE,9/27/2020,1000
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AE,9/28/2020,150
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AE,10/2/2020,100
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AE,10/7/2020,100
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AE,10/11/2020,100
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AK,6/29/2019,1000
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AK,7/12/2019,25
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AK,7/18/2019,150
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AK,7/23/2019,125
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AK,7/30/2019,100
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AK,8/1/2019,100
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AK,8/6/2019,250
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AK,8/12/2019,25
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AK,8/20/2019,200
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AK,9/5/2019,100
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AK,9/12/2019,25
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AK,9/13/2019,25
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AK,9/18/2019,100
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AK,9/24/2019,250
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AK,9/25/2019,250
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AK,10/8/2019,25
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AK,10/12/2019,25
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AK,10/15/2019,100
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AK,10/29/2019,10
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AK,11/5/2019,700
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AK,11/9/2019,100
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AK,11/12/2019,25
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AK,11/29/2019,10
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AK,12/3/2019,300
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AK,12/6/2019,200
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AK,12/12/2019,25
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AK,12/20/2019,100
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AK,12/29/2019,10
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AK,8/31/2020,125
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AK,9/1/2020,10
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AK,9/3/2020,60
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AK,9/4/2020,10
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AK,9/9/2020,2545
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AK,9/10/2020,1085
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AK,9/12/2020,35
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AK,9/13/2020,100
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AK,9/14/2020,500
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AK,9/15/2020,100
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AK,9/16/2020,10
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AK,9/17/2020,200
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AK,9/18/2020,25
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AK,9/19/2020,475
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AK,9/20/2020,50
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AK,9/21/2020,3500
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AK,9/22/2020,5250
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AK,9/23/2020,10
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AK,9/24/2020,285
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AK,9/25/2020,375
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AK,9/26/2020,25
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AK,9/27/2020,250
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AK,9/28/2020,5025
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AK,9/29/2020,300
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AK,10/2/2020,100
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AK,10/4/2020,120
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AK,10/5/2020,20
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AK,10/6/2020,1045
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AK,10/7/2020,535
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AK,10/8/2020,5275
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AK,10/9/2020,250
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AK,10/10/2020,1270
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AK,10/11/2020,10
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AK,10/12/2020,100
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,7/1/2019,500
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,7/5/2019,100
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,7/17/2019,150
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,7/23/2019,100
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,7/26/2019,650
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,7/30/2019,90
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,8/12/2019,450
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,8/13/2019,100
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,8/14/2019,30
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,8/27/2019,350
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,8/31/2019,550
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,9/3/2019,100
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,9/10/2019,170
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,9/11/2019,80
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,9/12/2019,50
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,9/13/2019,200
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,9/16/2019,100
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,9/17/2019,635
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,9/18/2019,100
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,9/24/2019,270
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,10/3/2019,50
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,10/8/2019,85
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,10/9/2019,330
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,10/10/2019,375
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,10/15/2019,300
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,10/21/2019,50
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,10/22/2019,1000
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,10/28/2019,250
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,10/29/2019,650
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,11/4/2019,500
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,11/5/2019,100
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,11/9/2019,100
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,11/12/2019,150
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,11/13/2019,250
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,11/19/2019,300
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,11/20/2019,300
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,11/22/2019,50
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,11/25/2019,425
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,11/26/2019,200
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,12/2/2019,20000
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,12/3/2019,120
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,12/4/2019,250
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,12/5/2019,25
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,12/6/2019,50
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,12/12/2019,100
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,12/16/2019,200
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,12/17/2019,690
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,12/18/2019,100
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,12/26/2019,450
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,8/31/2020,450
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,9/2/2020,625
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,9/4/2020,1375
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,9/10/2020,2163
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,9/12/2020,350
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,9/13/2020,110
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,9/14/2020,600
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,9/16/2020,244
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,9/17/2020,1744
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,9/18/2020,1000
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,9/19/2020,600
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,9/20/2020,100
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,9/23/2020,1200
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,9/25/2020,7100
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,9/26/2020,100
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,9/28/2020,1000
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,9/29/2020,25
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,9/30/2020,5400
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,10/1/2020,1275
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,10/3/2020,500
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,10/7/2020,350
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,10/8/2020,265
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,10/9/2020,1100
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,10/10/2020,250
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,10/12/2020,570
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AL,10/14/2020,610
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AP,9/1/2020,100
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AP,9/9/2020,50
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AP,9/11/2020,100
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AP,10/1/2020,100
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AP,10/5/2020,100
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AP,10/9/2020,200
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AR,7/2/2019,25
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AR,7/9/2019,100
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AR,7/10/2019,250
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AR,7/17/2019,1250
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AR,7/25/2019,325
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AR,7/26/2019,100
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AR,7/30/2019,50
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AR,7/31/2019,10
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AR,8/2/2019,25
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AR,8/6/2019,650
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AR,8/7/2019,50
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AR,8/12/2019,375
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AR,8/13/2019,135
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AR,8/20/2019,200
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AR,8/21/2019,200
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AR,9/2/2019,25
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AR,9/10/2019,150
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AR,9/12/2019,100
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AR,9/16/2019,350
SMP,C00484642,FEC-1458797,http://docquery.fec.gov/csv/797/1458797.csv,AR,9/17/2019,100
